age,workclass,education_num,marital_status,capital_gain,capital_loss,hours_per_week,income_50k
25,Private,7,Never_married,0,0,40,No
56,Private,9,Divorced,0,0,10,No
36,Local_gov,9,Never_married,0,0,70,No
36,Federal_gov,10,Married_civ_spouse,0,0,50,No
33,Federal_gov,13,Married_civ_spouse,0,0,40,No
56,Local_gov,9,Married_civ_spouse,0,0,40,No
32,Private,11,Married_civ_spouse,0,0,50,No
22,Private,11,Married_civ_spouse,0,0,40,No
45,Private,9,Divorced,0,0,60,No
36,Private,7,Married_civ_spouse,0,0,43,No
26,Private,9,Never_married,0,1602,15,No
21,Private,10,Never_married,0,0,15,No
35,Private,10,Married_civ_spouse,2407,0,40,No
37,Private,10,Married_civ_spouse,0,0,40,No
67,Private,10,Divorced,0,0,41,No
24,Private,10,Never_married,0,0,40,No
23,Private,9,Never_married,0,0,40,No
41,Local_gov,11,Never_married,0,0,40,No
20,Private,10,Never_married,0,0,40,No
25,Private,9,Never_married,0,0,40,No
26,Private,13,Never_married,0,0,40,No
40,Private,9,Married_civ_spouse,0,0,50,No
74,Self_emp_not_inc,9,Married_civ_spouse,0,0,55,No
34,Private,10,Married_civ_spouse,0,2057,40,No
22,Private,10,Married_civ_spouse,3781,0,35,No
27,Private,13,Never_married,0,0,45,No
17,Private,6,Never_married,0,0,30,No
24,Private,9,Married_civ_spouse,0,0,40,No
51,Private,7,Widowed,0,0,40,No
39,Private,9,Married_civ_spouse,0,0,40,No
27,Private,10,Widowed,0,0,40,No
43,Self_emp_not_inc,10,Married_civ_spouse,0,0,50,No
37,Private,9,Married_civ_spouse,0,0,45,No
31,Private,13,Never_married,0,0,50,No
39,State_gov,12,Married_civ_spouse,0,0,52,No
19,Self_emp_not_inc,10,Never_married,0,0,50,No
24,Private,13,Never_married,0,0,10,No
40,Private,6,Divorced,0,0,35,No
21,Private,11,Never_married,0,0,40,No
42,Private,9,Divorced,0,0,40,No
23,Private,10,Never_married,0,0,40,No
22,Private,10,Never_married,0,0,40,No
29,Private,9,Divorced,0,0,44,No
62,Local_gov,9,Never_married,0,0,40,No
31,Private,9,Divorced,0,0,40,No
25,Private,11,Never_married,0,0,40,No
32,Private,9,Divorced,3887,0,40,No
62,Private,9,Married_civ_spouse,0,0,16,No
27,Private,9,Never_married,0,0,37,No
60,State_gov,13,Divorced,0,0,35,No
54,Private,11,Married_civ_spouse,5013,0,40,No
30,Self_emp_not_inc,10,Married_civ_spouse,0,0,40,No
33,Private,9,Married_civ_spouse,0,0,40,No
44,Local_gov,11,Never_married,0,1340,40,No
41,Private,7,Widowed,0,0,40,No
20,Private,10,Never_married,0,0,20,No
60,Private,4,Divorced,0,0,40,No
36,Private,9,Married_civ_spouse,0,0,50,No
25,Private,9,Never_married,0,0,50,No
36,Self_emp_not_inc,11,Married_civ_spouse,3908,0,75,No
36,Private,10,Divorced,0,0,40,No
23,Private,9,Never_married,0,0,38,No
35,Private,9,Divorced,0,0,40,No
55,Self_emp_not_inc,4,Married_civ_spouse,0,0,50,No
26,Private,14,Married_civ_spouse,5013,0,40,No
42,Private,6,Never_married,0,0,40,No
30,Local_gov,10,Never_married,0,0,40,No
44,Private,13,Never_married,0,0,5,No
27,Private,12,Never_married,0,0,40,No
27,Private,13,Never_married,0,0,40,No
28,Local_gov,9,Never_married,0,0,35,No
57,Private,3,Married_civ_spouse,0,0,45,No
44,Private,6,Divorced,0,0,40,No
41,Private,4,Married_civ_spouse,0,0,36,No
32,Federal_gov,9,Never_married,0,0,32,No
35,Private,7,Married_civ_spouse,0,0,40,No
28,Private,9,Never_married,0,0,60,No
22,Private,11,Never_married,0,0,30,No
20,Private,9,Separated,0,0,40,No
22,Private,10,Never_married,0,0,35,No
28,Private,9,Married_civ_spouse,0,0,40,No
19,Private,9,Never_married,0,0,25,No
49,Private,9,Married_civ_spouse,0,0,50,No
54,Local_gov,9,Married_civ_spouse,0,0,35,No
62,State_gov,13,Married_civ_spouse,0,0,40,No
37,Private,10,Never_married,0,0,60,No
42,Private,10,Married_civ_spouse,0,0,65,No
26,Private,9,Never_married,0,0,40,No
28,Private,9,Married_civ_spouse,0,0,50,No
34,Private,9,Married_civ_spouse,0,0,20,No
69,Self_emp_not_inc,9,Married_civ_spouse,0,0,48,No
68,Private,9,Married_civ_spouse,0,0,25,No
27,Private,9,Never_married,0,0,22,No
30,Private,10,Married_civ_spouse,0,0,40,No
34,Local_gov,10,Never_married,0,0,40,No
57,Self_emp_not_inc,2,Married_civ_spouse,0,0,35,No
26,Private,10,Married_spouse_absent,0,0,40,No
62,Private,9,Divorced,0,0,84,No
24,Local_gov,12,Never_married,0,0,20,No
