date,store_id,item_id,sales,store_type,bad_weather,promotion,day,month
1/1/2013,1,1032943,242,urban,1,0,Tuesday,January
1/2/2013,1,1032943,152,urban,0,0,Wednesday,January
1/3/2013,1,1032943,172,urban,0,0,Thursday,January
1/4/2013,1,1032943,221,urban,0,0,Friday,January
1/5/2013,1,1032943,247,urban,0,0,Saturday,January
1/6/2013,1,1032943,248,urban,0,0,Sunday,January
1/7/2013,1,1032943,222,urban,0,0,Monday,January
1/8/2013,1,1032943,149,urban,1,0,Tuesday,January
1/9/2013,1,1032943,214,urban,0,0.05,Wednesday,January
1/10/2013,1,1032943,307,urban,0,0,Thursday,January
1/11/2013,1,1032943,258,urban,0,0,Friday,January
1/12/2013,1,1032943,555,urban,0,0.05,Saturday,January
1/13/2013,1,1032943,473,urban,0,0,Sunday,January
1/14/2013,1,1032943,204,urban,0,0,Monday,January
1/15/2013,1,1032943,363,urban,0,0.2,Tuesday,January
1/16/2013,1,1032943,212,urban,0,0,Wednesday,January
1/17/2013,1,1032943,166,urban,0,0,Thursday,January
1/18/2013,1,1032943,226,urban,0,0,Friday,January
1/19/2013,1,1032943,240,urban,1,0,Saturday,January
1/20/2013,1,1032943,366,urban,0,0,Sunday,January
1/21/2013,1,1032943,226,urban,0,0,Monday,January
1/22/2013,1,1032943,220,urban,0,0,Tuesday,January
1/23/2013,1,1032943,200,urban,1,0,Wednesday,January
1/24/2013,1,1032943,150,urban,0,0,Thursday,January
1/25/2013,1,1032943,248,urban,1,0,Friday,January
1/26/2013,1,1032943,335,urban,0,0.05,Saturday,January
1/27/2013,1,1032943,453,urban,0,0.2,Sunday,January
1/28/2013,1,1032943,215,urban,0,0,Monday,January
1/29/2013,1,1032943,126,urban,1,0,Tuesday,January
1/30/2013,1,1032943,183,urban,0,0,Wednesday,January
1/31/2013,1,1032943,166,urban,0,0,Thursday,January
2/1/2013,1,1032943,277,urban,0,0,Friday,February
2/2/2013,1,1032943,307,urban,0,0,Saturday,February
2/3/2013,1,1032943,295,urban,0,0,Sunday,February
2/4/2013,1,1032943,176,urban,0,0,Monday,February
2/5/2013,1,1032943,171,urban,0,0,Tuesday,February
2/6/2013,1,1032943,271,urban,0,0.1,Wednesday,February
2/7/2013,1,1032943,278,urban,0,0.5,Thursday,February
2/8/2013,1,1032943,233,urban,0,0,Friday,February
2/9/2013,1,1032943,320,urban,0,0,Saturday,February
2/10/2013,1,1032943,412,urban,0,0.05,Sunday,February
2/11/2013,1,1032943,166,urban,0,0,Monday,February
2/12/2013,1,1032943,194,urban,0,0.05,Tuesday,February
2/13/2013,1,1032943,148,urban,0,0,Wednesday,February
2/14/2013,1,1032943,238,urban,0,0.2,Thursday,February
2/15/2013,1,1032943,221,urban,0,0,Friday,February
2/16/2013,1,1032943,393,urban,0,0,Saturday,February
2/17/2013,1,1032943,540,urban,0,0.4,Sunday,February
2/18/2013,1,1032943,195,urban,0,0,Monday,February
2/19/2013,1,1032943,184,urban,1,0,Tuesday,February
2/20/2013,1,1032943,183,urban,0,0,Wednesday,February
2/21/2013,1,1032943,257,urban,0,0.2,Thursday,February
2/22/2013,1,1032943,258,urban,0,0,Friday,February
2/23/2013,1,1032943,422,urban,0,0,Saturday,February
2/24/2013,1,1032943,347,urban,0,0,Sunday,February
2/25/2013,1,1032943,226,urban,0,0.05,Monday,February
2/26/2013,1,1032943,140,urban,0,0,Tuesday,February
2/27/2013,1,1032943,206,urban,0,0,Wednesday,February
2/28/2013,1,1032943,205,urban,0,0,Thursday,February
3/1/2013,1,1032943,200,urban,0,0,Friday,March
3/2/2013,1,1032943,305,urban,0,0,Saturday,March
3/3/2013,1,1032943,449,urban,0,0.3,Sunday,March
3/4/2013,1,1032943,213,urban,0,0,Monday,March
3/5/2013,1,1032943,220,urban,0,0,Tuesday,March
3/6/2013,1,1032943,206,urban,0,0,Wednesday,March
3/7/2013,1,1032943,247,urban,0,0,Thursday,March
3/8/2013,1,1032943,280,urban,0,0,Friday,March
3/9/2013,1,1032943,378,urban,0,0,Saturday,March
3/10/2013,1,1032943,473,urban,0,0.15,Sunday,March
3/11/2013,1,1032943,220,urban,0,0,Monday,March
3/12/2013,1,1032943,208,urban,0,0,Tuesday,March
3/13/2013,1,1032943,257,urban,0,0.4,Wednesday,March
3/14/2013,1,1032943,201,urban,0,0.1,Thursday,March
3/15/2013,1,1032943,202,urban,0,0,Friday,March
3/16/2013,1,1032943,216,urban,0,0,Saturday,March
3/17/2013,1,1032943,230,urban,0,0,Sunday,March
3/18/2013,1,1032943,160,urban,0,0,Monday,March
3/19/2013,1,1032943,171,urban,0,0,Tuesday,March
3/20/2013,1,1032943,191,urban,0,0,Wednesday,March
3/21/2013,1,1032943,322,urban,0,0,Thursday,March
3/22/2013,1,1032943,257,urban,0,0,Friday,March
3/23/2013,1,1032943,300,urban,0,0,Saturday,March
3/24/2013,1,1032943,324,urban,0,0.05,Sunday,March
3/25/2013,1,1032943,203,urban,0,0.1,Monday,March
3/26/2013,1,1032943,163,urban,0,0,Tuesday,March
3/27/2013,1,1032943,181,urban,0,0,Wednesday,March
3/28/2013,1,1032943,185,urban,0,0,Thursday,March
3/29/2013,1,1032943,226,urban,0,0,Friday,March
3/30/2013,1,1032943,273,urban,0,0.2,Saturday,March
3/31/2013,1,1032943,337,urban,0,0,Sunday,March
4/1/2013,1,1032943,265,urban,0,0,Monday,April
4/2/2013,1,1032943,181,urban,0,0.05,Tuesday,April
4/3/2013,1,1032943,218,urban,0,0,Wednesday,April
4/4/2013,1,1032943,208,urban,0,0,Thursday,April
4/5/2013,1,1032943,284,urban,0,0,Friday,April
4/6/2013,1,1032943,288,urban,0,0.05,Saturday,April
4/7/2013,1,1032943,375,urban,0,0,Sunday,April
4/8/2013,1,1032943,141,urban,0,0,Monday,April
4/9/2013,1,1032943,175,urban,0,0,Tuesday,April
4/10/2013,1,1032943,300,urban,0,0.4,Wednesday,April
4/11/2013,1,1032943,220,urban,0,0,Thursday,April
4/12/2013,1,1032943,290,urban,0,0.05,Friday,April
4/13/2013,1,1032943,295,urban,0,0,Saturday,April
4/14/2013,1,1032943,237,urban,0,0,Sunday,April
4/15/2013,1,1032943,234,urban,0,0.1,Monday,April
4/16/2013,1,1032943,139,urban,0,0,Tuesday,April
4/17/2013,1,1032943,202,urban,1,0.05,Wednesday,April
4/18/2013,1,1032943,243,urban,0,0,Thursday,April
4/19/2013,1,1032943,327,urban,0,0.1,Friday,April
4/20/2013,1,1032943,307,urban,0,0,Saturday,April
4/21/2013,1,1032943,296,urban,0,0.05,Sunday,April
4/22/2013,1,1032943,210,urban,0,0,Monday,April
4/23/2013,1,1032943,218,urban,0,0,Tuesday,April
4/24/2013,1,1032943,234,urban,0,0.05,Wednesday,April
4/25/2013,1,1032943,166,urban,0,0,Thursday,April
4/26/2013,1,1032943,327,urban,0,0,Friday,April
4/27/2013,1,1032943,234,urban,0,0,Saturday,April
4/28/2013,1,1032943,430,urban,0,0.1,Sunday,April
4/29/2013,1,1032943,233,urban,0,0,Monday,April
4/30/2013,1,1032943,203,urban,0,0,Tuesday,April
5/1/2013,1,1032943,141,urban,0,0,Wednesday,May
5/2/2013,1,1032943,312,urban,0,0.1,Thursday,May
5/3/2013,1,1032943,275,urban,0,0,Friday,May
5/4/2013,1,1032943,290,urban,0,0,Saturday,May
5/5/2013,1,1032943,347,urban,0,0,Sunday,May
5/6/2013,1,1032943,318,urban,0,0.15,Monday,May
5/7/2013,1,1032943,212,urban,0,0,Tuesday,May
5/8/2013,1,1032943,209,urban,0,0.05,Wednesday,May
5/9/2013,1,1032943,148,urban,0,0,Thursday,May
5/10/2013,1,1032943,294,urban,0,0,Friday,May
5/11/2013,1,1032943,266,urban,0,0,Saturday,May
5/12/2013,1,1032943,353,urban,0,0,Sunday,May
5/13/2013,1,1032943,227,urban,0,0,Monday,May
5/14/2013,1,1032943,206,urban,0,0,Tuesday,May
5/15/2013,1,1032943,242,urban,0,0,Wednesday,May
5/16/2013,1,1032943,170,urban,0,0,Thursday,May
5/17/2013,1,1032943,262,urban,0,0,Friday,May
5/18/2013,1,1032943,360,urban,0,0,Saturday,May
5/19/2013,1,1032943,317,urban,0,0,Sunday,May
5/20/2013,1,1032943,234,urban,0,0,Monday,May
5/21/2013,1,1032943,143,urban,0,0,Tuesday,May
5/22/2013,1,1032943,162,urban,0,0,Wednesday,May
5/23/2013,1,1032943,205,urban,0,0,Thursday,May
5/24/2013,1,1032943,306,urban,0,0.15,Friday,May
