Month,Hour,Workday,Temp,Weather,Windspeed,Bikes
Jan,0,0,0.24,clear,0,3
Jan,1,0,0.22,clear,0,8
Jan,2,0,0.22,clear,0,5
Jan,3,0,0.24,clear,0,3
Jan,4,0,0.24,clear,0,0
Jan,5,0,0.24,cloudy/misty,0.0896,0
Jan,6,0,0.22,clear,0,2
Jan,7,0,0.2,clear,0,1
Jan,8,0,0.24,clear,0,1
Jan,9,0,0.32,clear,0,8
Jan,10,0,0.38,clear,0.2537,12
Jan,11,0,0.36,clear,0.2836,26
Jan,12,0,0.42,clear,0.2836,29
Jan,13,0,0.46,cloudy/misty,0.2985,47
Jan,14,0,0.46,cloudy/misty,0.2836,35
Jan,15,0,0.44,cloudy/misty,0.2985,40
Jan,16,0,0.42,cloudy/misty,0.2985,41
Jan,17,0,0.44,cloudy/misty,0.2836,15
Jan,18,0,0.42,light rain/snow,0.2537,9
Jan,19,0,0.42,light rain/snow,0.2537,6
Jan,20,0,0.4,cloudy/misty,0.2537,11
Jan,21,0,0.4,cloudy/misty,0.194,3
Jan,22,0,0.4,cloudy/misty,0.2239,11
Jan,23,0,0.46,cloudy/misty,0.2985,15
Jan,0,0,0.46,cloudy/misty,0.2985,4
Jan,1,0,0.44,cloudy/misty,0.2537,1
Jan,2,0,0.42,cloudy/misty,0.2836,1
Jan,3,0,0.46,cloudy/misty,0.194,2
Jan,4,0,0.46,cloudy/misty,0.194,2
Jan,6,0,0.42,light rain/snow,0.2985,0
Jan,7,0,0.4,cloudy/misty,0.194,0
Jan,8,0,0.4,light rain/snow,0.2239,0
Jan,9,0,0.38,cloudy/misty,0.2239,1
Jan,10,0,0.36,cloudy/misty,0.2239,7
Jan,11,0,0.36,cloudy/misty,0.2537,16
Jan,12,0,0.36,cloudy/misty,0.2985,20
Jan,13,0,0.36,cloudy/misty,0.1343,11
Jan,14,0,0.36,light rain/snow,0.194,4
Jan,15,0,0.34,light rain/snow,0.1642,19
Jan,16,0,0.34,light rain/snow,0.1642,9
Jan,17,0,0.34,clear,0.194,7
Jan,18,0,0.36,cloudy/misty,0.3284,10
Jan,19,0,0.32,clear,0.4478,1
Jan,20,0,0.3,clear,0.3582,5
Jan,21,0,0.26,clear,0.3284,11
Jan,22,0,0.24,clear,0.2985,0
Jan,23,0,0.22,clear,0.1642,0
Jan,0,1,0.22,clear,0.3582,0
Jan,1,1,0.2,clear,0.4179,0
