crim,chas,nox,room,dis,lstat,value
0.00632,No,0.538,6.575,4.09,4.98,24
0.02731,No,0.469,6.421,4.9671,9.14,21.6
0.02729,No,0.469,7.185,4.9671,4.03,34.7
0.03237,No,0.458,6.998,6.0622,2.94,33.4
0.06905,No,0.458,7.147,6.0622,5.33,36.2
0.02985,No,0.458,6.43,6.0622,5.21,28.7
0.08829,No,0.524,6.012,5.5605,12.43,22.9
0.14455,No,0.524,6.172,5.9505,19.15,27.1
0.21124,No,0.524,5.631,6.0821,29.93,16.5
0.17004,No,0.524,6.004,6.5921,17.1,18.9
0.22489,No,0.524,6.377,6.3467,20.45,15
0.11747,No,0.524,6.009,6.2267,13.27,18.9
0.09378,No,0.524,5.889,5.4509,15.71,21.7
0.62976,No,0.538,5.949,4.7075,8.26,20.4
0.63796,No,0.538,6.096,4.4619,10.26,18.2
0.62739,No,0.538,5.834,4.4986,8.47,19.9
1.05393,No,0.538,5.935,4.4986,6.58,23.1
0.7842,No,0.538,5.99,4.2579,14.67,17.5
0.80271,No,0.538,5.456,3.7965,11.69,20.2
0.7258,No,0.538,5.727,3.7965,11.28,18.2
1.25179,No,0.538,5.57,3.7979,21.02,13.6
0.85204,No,0.538,5.965,4.0123,13.83,19.6
1.23247,No,0.538,6.142,3.9769,18.72,15.2
0.98843,No,0.538,5.813,4.0952,19.88,14.5
0.75026,No,0.538,5.924,4.3996,16.3,15.6
0.84054,No,0.538,5.599,4.4546,16.51,13.9
0.67191,No,0.538,5.813,4.682,14.81,16.6
0.95577,No,0.538,6.047,4.4534,17.28,14.8
0.77299,No,0.538,6.495,4.4547,12.8,18.4
1.00245,No,0.538,6.674,4.239,11.98,21
1.13081,No,0.538,5.713,4.233,22.6,12.7
1.35472,No,0.538,6.072,4.175,13.04,14.5
1.38799,No,0.538,5.95,3.99,27.71,13.2
1.15172,No,0.538,5.701,3.7872,18.35,13.1
1.61282,No,0.538,6.096,3.7598,20.34,13.5
0.06417,No,0.499,5.933,3.3603,9.68,18.9
0.09744,No,0.499,5.841,3.3779,11.41,20
0.08014,No,0.499,5.85,3.9342,8.77,21
0.17505,No,0.499,5.966,3.8473,10.13,24.7
0.02763,No,0.428,6.595,5.4011,4.32,30.8
0.03359,No,0.428,7.024,5.4011,1.98,34.9
