Gender,HP,Credit,Years,Marital,Vehicle,Miles,Family,Accident
M,89,675,2,Married,Truck,7528,5,No
M,115,786,37,Single,Utility,8080,6,No
M,98,786,2,Single,Utility,6741,5,No
F,144,738,25,Married,Truck,10275,5,No
F,230,731,7,Single,Truck,10868,1,No
M,435,619,1,Married,Car,78115,2,No
M,150,749,25,Married,Utility,9735,6,No
F,157,705,22,Single,Car,14749,3,No
F,377,378,5,Single,Truck,13739,5,No
F,118,699,14,Married,Car,14080,2,No
M,152,733,15,Married,Van,9173,8,No
M,136,693,13,Single,Utility,9658,5,No
M,89,760,10,Single,Utility,13444,8,No
F,80,701,10,Married,Truck,76418,2,No
F,164,384,2,Married,Car,27299,8,No
M,127,721,20,Married,Truck,12180,2,No
M,131,773,23,Single,Utility,12130,8,No
M,176,828,2,Single,Car,14150,5,No
M,181,427,1,Single,Car,13048,4,No
M,131,694,24,Married,Van,7296,1,No
M,215,599,3,Married,Car,12401,3,No
M,139,769,20,Married,Van,11307,3,No
M,81,551,7,Married,Van,65479,7,No
F,327,686,6,Married,Truck,73861,1,No
M,93,763,17,Married,Van,9320,8,No
F,95,770,13,Single,Car,6655,2,No
M,134,762,33,Married,Van,9554,6,No
M,498,595,4,Single,Car,11873,2,No
F,136,746,20,Married,Car,18587,6,No
M,133,727,18,Married,Van,12325,4,No
M,126,705,1,Single,Car,17686,2,No
F,329,544,7,Single,Truck,14153,7,No
F,99,725,25,Married,Car,5855,3,No
M,83,517,5,Married,Utility,43665,8,No
F,138,676,20,Married,Car,10571,1,No
M,239,835,3,Married,Car,18113,5,No
M,445,620,4,Married,Car,13054,5,No
F,86,685,14,Married,Car,42375,8,No
M,108,741,15,Married,Truck,9722,2,No
M,89,781,22,Married,Van,14994,3,No
M,147,718,26,Married,Van,12395,7,No
F,308,471,8,Single,Truck,14740,4,No
F,88,767,21,Single,Car,8706,4,No
M,141,677,7,Married,Van,37789,7,No
F,219,673,22,Married,Car,11747,4,No
M,100,788,14,Married,Van,5607,5,No
M,84,718,11,Married,Van,84416,6,No
F,97,783,7,Married,Car,8914,5,No
M,153,689,29,Married,Van,8951,4,No
F,142,570,6,Single,Van,14221,6,No
M,246,604,3,Married,Car,13797,5,No
M,278,681,1,Single,Utility,10570,1,No
F,127,591,8,Single,Van,70883,7,No
F,130,735,18,Married,Car,10113,5,No
F,80,325,6,Married,Car,65923,8,No
M,486,657,4,Married,Car,11933,7,No
M,112,522,2,Single,Car,10996,8,No
F,416,510,7,Single,Truck,12646,7,No
F,123,762,39,Married,Truck,11382,5,No
M,95,746,24,Single,Utility,13325,5,No
M,129,735,37,Married,Van,8983,3,No
F,462,494,6,Single,Truck,10288,7,No
M,107,784,28,Single,Utility,12752,7,No
F,87,753,25,Single,Car,10975,3,No
M,142,303,4,Single,Car,11677,4,No
F,275,723,6,Single,Truck,13056,7,No
M,122,724,18,Married,Utility,12176,7,No
F,148,764,22,Married,Car,14973,4,No
F,458,677,8,Married,Car,65662,1,No
F,80,793,18,Married,Car,10547,1,No
M,87,745,19,Married,Van,12570,3,No
M,105,741,25,Married,Van,8297,1,No
M,135,728,9,Married,Utility,31085,7,No
F,168,693,5,Single,Car,84324,2,No
F,285,683,6,Single,Truck,14949,6,No
M,155,796,24,Married,Van,13696,1,No
F,110,797,3,Married,Truck,13953,1,No
M,204,612,3,Married,Car,14572,3,No
M,134,727,22,Married,Van,6899,3,No
F,148,705,13,Married,Car,11418,6,No
F,136,781,39,Married,Car,8282,8,No
F,105,710,21,Married,Car,12584,7,No
F,564,711,33,Married,Car,21736,8,No
F,122,755,36,Married,Car,6812,4,No
F,404,659,7,Single,Utility,11812,1,No
F,90,706,9,Married,Car,93192,2,No
F,103,753,31,Married,Car,9759,1,No
M,108,794,6,Married,Utility,6408,4,No
M,130,673,9,Married,Truck,10688,3,No
F,113,717,37,Married,Car,14903,3,No
M,126,619,5,Married,Truck,63056,5,No
F,120,739,13,Married,Truck,10933,4,No
M,119,688,21,Married,Truck,12392,6,No
M,114,723,16,Married,Van,11367,1,No
F,150,774,29,Married,Car,19094,6,No
M,168,644,3,Single,Car,10013,1,No
F,102,678,29,Married,Truck,10680,1,No
M,144,789,7,Married,Van,7482,5,No
F,439,696,30,Married,Car,15155,7,No
F,125,752,3,Married,Truck,21084,8,No
F,150,790,18,Married,Car,5944,2,No
M,102,717,10,Married,Van,13587,1,No
M,95,755,3,Single,Utility,6474,3,No
M,150,695,18,Single,Utility,12573,5,No
M,178,674,1,Single,Car,11508,3,No
F,93,733,10,Married,Truck,7666,6,No
M,99,745,21,Married,Truck,11183,8,No
F,131,672,15,Married,Car,15976,3,No
F,117,748,20,Married,Truck,14699,8,No
F,303,614,7,Single,Truck,12358,3,No
F,122,743,22,Married,Car,6710,3,No
M,101,713,6,Married,Van,52384,7,No
M,150,317,5,Single,Car,10572,3,No
F,127,677,19,Married,Truck,14479,7,No
F,101,683,15,Married,Truck,10932,6,No
M,274,641,5,Married,Car,14578,3,No
M,412,651,1,Single,Car,40435,4,No
M,148,766,8,Married,Van,10654,2,No
M,84,678,10,Married,Van,9938,3,No
M,400,733,2,Married,Car,11008,2,No
M,150,793,17,Married,Van,7322,4,No
M,101,774,23,Married,Van,13934,4,No
M,95,699,14,Married,Van,63466,4,No
M,116,747,2,Single,Utility,14048,7,No
F,154,779,14,Married,Car,18902,1,No
M,150,781,23,Married,Truck,5501,5,No
M,155,692,20,Married,Truck,5541,2,No
F,80,719,16,Single,Car,6274,3,No
M,394,621,2,Married,Van,13024,8,No
M,117,687,19,Married,Van,9710,7,No
M,120,747,15,Single,Utility,7455,4,No
M,114,749,5,Single,Utility,9092,7,No
M,155,721,7,Married,Truck,12839,4,No
M,137,752,19,Married,Utility,10144,6,No
F,115,755,16,Single,Car,14604,8,No
F,605,716,5,Married,Car,23143,4,No
M,184,414,2,Single,Car,12049,6,No
F,326,698,5,Single,Truck,12564,5,No
M,90,686,27,Married,Van,8777,1,No
F,147,701,15,Married,Truck,9373,2,No
M,142,751,11,Married,Truck,11711,4,No
M,110,792,14,Married,Truck,7715,6,No
M,239,692,5,Married,Car,12408,5,No
M,126,602,4,Single,Car,35576,2,No
M,393,612,5,Married,Car,11026,4,No
F,381,733,27,Married,Car,16526,4,No
F,113,781,16,Married,Car,17017,1,No
M,97,769,20,Married,Truck,10110,1,No
M,153,729,3,Single,Car,12774,6,No
M,485,585,5,Married,Car,21862,4,No
M,156,606,7,Married,Truck,32630,6,No
M,154,748,27,Married,Van,5223,4,No
M,140,750,19,Married,Van,10415,7,No
M,85,755,36,Married,Truck,14677,4,No
F,156,719,17,Married,Car,10871,2,No
M,151,793,13,Single,Utility,10689,5,No
M,155,689,4,Married,Van,10580,2,No
F,82,575,2,Married,Car,87526,3,No
M,602,648,2,Married,Van,7281,8,No
M,101,742,21,Married,Van,8784,1,No
M,135,686,8,Married,Van,12496,8,No
M,116,724,6,Married,Van,87549,1,No
M,137,677,18,Married,Van,10681,1,No
F,334,646,5,Single,Truck,10778,2,No
F,137,707,23,Married,Car,11211,4,No
F,91,692,13,Married,Car,9147,8,No
F,112,730,29,Married,Car,13160,7,No
F,290,583,8,Single,Utility,12505,1,No
F,126,604,5,Single,Van,21823,2,No
F,161,319,7,Single,Van,15769,1,No
F,489,666,5,Single,Truck,14418,8,No
F,107,685,16,Married,Car,8637,7,No
M,142,742,10,Married,Van,5711,5,No
M,144,710,18,Married,Van,14865,1,No
M,164,564,1,Single,Car,14661,6,No
M,232,620,5,Married,Car,12261,6,No
F,90,759,10,Married,Car,16621,5,No
M,175,610,3,Single,Car,15415,1,No
M,153,779,12,Married,Van,8707,1,No
M,108,781,19,Married,Truck,13865,4,No
F,92,751,29,Married,Car,14591,5,No
F,100,780,25,Married,Truck,16404,5,No
M,347,736,4,Married,Car,12416,5,No
M,120,733,11,Married,Van,8114,4,No
M,417,400,5,Single,Utility,10173,7,No
F,92,766,9,Married,Truck,8948,6,No
F,136,758,7,Single,Car,9197,6,No
M,207,703,8,Married,Truck,31633,2,No
F,153,792,7,Married,Car,5201,7,No
M,145,776,24,Married,Utility,6857,3,No
M,132,780,25,Married,Van,11272,2,No
M,128,812,18,Single,Utility,11013,1,No
M,321,640,4,Married,Car,17748,7,No
M,167,534,2,Married,Van,83048,1,No
M,158,595,5,Single,Car,85686,4,No
M,93,740,5,Married,Van,9916,1,No
M,196,627,6,Married,Truck,12045,6,No
M,82,690,10,Married,Van,13142,6,No
F,217,687,8,Single,Truck,14878,4,No
M,93,680,10,Married,Van,8708,2,No
