Area,VehPower,VehAge,DrivAge,Credit,FuelType,Density,Amount
F,7,1,61,770,Regular,27000,303
B,12,5,50,760,Diesel,56,1981.84
E,4,0,36,735,Regular,4792,1456.55
F,10,0,51,720,Regular,27000,494.82
F,10,0,51,720,Regular,27000,4922.18
A,5,0,45,770,Regular,12,3986.67
D,10,6,54,770,Diesel,583,1840.14
D,5,0,34,756,Regular,1565,1397.97
E,5,0,44,770,Regular,3317,971.98
E,4,10,24,715,Regular,3064,1442.75
D,9,0,60,770,Regular,570,637.41
B,7,7,28,740,Diesel,65,3048.98
D,6,0,76,770,Regular,543,4573.47
E,8,4,67,748,Regular,2674,384.77
C,5,0,39,763,Diesel,177,185.98
B,4,0,47,770,Regular,79,671.05
D,11,0,39,764,Diesel,778,922.87
D,11,0,39,764,Diesel,778,497.6
D,9,0,35,753,Regular,1139,724.03
E,6,0,74,770,Regular,3132,3401.9
E,6,8,49,720,Regular,9082,2975.68
C,5,0,52,770,Regular,428,1692.29
E,9,0,78,770,Regular,2580,422.05
F,10,8,50,769,Regular,27000,76.22
C,9,1,51,750,Regular,480,704.18
C,9,0,50,770,Regular,353,734.94
C,9,0,50,770,Regular,353,191.2
A,5,0,49,770,Diesel,23,564.35
E,5,0,22,720,Regular,4408,3365.37
C,6,0,35,748,Regular,495,1761.37
E,5,0,47,770,Regular,5936,553.09
E,5,1,52,770,Regular,3430,631.36
E,7,2,71,760,Regular,2201,6467.65
E,7,0,45,760,Diesel,6570,1322.75
F,7,5,32,720,Regular,15725,885.28
E,12,9,53,720,Regular,3110,4280.51
E,12,9,53,720,Regular,3110,339.545
D,4,0,48,770,Regular,726,1878.72
E,10,0,61,748,Regular,5433,1219.51
E,6,7,47,770,Regular,2498,984.07
A,9,0,54,770,Regular,34,3647.26
E,4,0,51,770,Regular,2580,1183.63
D,4,0,26,740,Regular,610,4166.79
F,9,0,68,770,Regular,17140,1096.52
C,10,0,53,770,Diesel,112,117.82
C,10,0,53,770,Diesel,112,278.07
D,10,4,53,770,Regular,1693,5451.29
C,7,8,29,760,Regular,325,6239.07
E,4,0,43,770,Regular,3317,12555.36
E,10,0,48,770,Diesel,9307,1551.38
B,12,3,28,744,Diesel,59,1309.81
A,5,0,36,770,Regular,17,326.57
F,8,8,51,720,Regular,27000,409.13
F,7,0,51,770,Regular,27000,470.695
F,7,0,51,770,Regular,27000,266.2
C,10,7,27,744,Diesel,162,549.21
E,5,6,28,752,Diesel,3317,433.89
F,11,0,39,744,Diesel,27000,1746.38
D,6,0,35,756,Regular,949,575.19
E,7,5,30,735,Diesel,3744,1440.4
F,5,0,25,740,Diesel,10961,1405.75
C,4,10,27,720,Regular,376,787.66
D,5,2,26,720,Diesel,1412,191.15
A,12,4,69,770,Diesel,7,5340.29
E,11,0,37,770,Regular,3430,378.33
D,11,0,45,770,Diesel,1248,276.82
C,7,0,49,770,Diesel,113,830.36
E,7,0,32,740,Regular,3317,3950.26
E,9,0,34,720,Regular,9307,1662.96
D,6,5,47,750,Diesel,1021,680.7
D,11,6,46,770,Diesel,1422,600.21
D,9,0,34,765,Regular,824,594.76
D,6,8,23,720,Diesel,800,83.14
C,7,0,43,770,Regular,188,553.22
B,7,4,46,770,Regular,56,2031.77
F,6,0,42,730,Regular,17140,893.56
E,5,6,32,749,Regular,3274,90.24
D,6,0,41,769,Regular,1370,581.21
E,6,0,41,745,Diesel,3744,83.87
E,5,8,18,720,Diesel,2498,40.57
E,5,8,18,720,Diesel,2498,546.93
C,7,0,44,762,Diesel,458,579.14
D,5,2,55,770,Diesel,966,407.09
D,6,0,31,769,Regular,675,891.75
E,4,3,36,720,Regular,2537,647.34
C,15,10,36,770,Regular,256,2101.04
E,7,2,33,720,Diesel,5460,74.23
E,6,0,73,762,Regular,4762,2767.64
C,5,0,53,756,Regular,102,734.81
B,6,2,56,770,Diesel,97,626.68
A,10,1,54,754,Regular,20,742.73
D,8,4,28,752,Regular,824,79.86
E,6,3,45,770,Regular,2618,746.84
C,7,9,49,770,Diesel,330,72.93
D,4,0,31,760,Regular,653,712.13
C,10,1,56,770,Regular,159,564.45
E,7,0,75,770,Regular,6902,1449.64
C,4,0,51,770,Regular,100,1037.95
F,5,0,60,770,Regular,12750,1181.77
D,4,7,78,758,Regular,1541,1284.45
B,7,4,22,720,Regular,53,1826.34
D,5,0,25,748,Regular,515,343.21
B,10,10,24,740,Regular,72,6241.73
C,8,9,56,770,Diesel,272,1128.12
D,7,1,63,770,Diesel,1062,1626.6
C,5,4,42,770,Regular,361,109.38
C,4,13,36,762,Regular,229,1128.12
E,5,4,46,770,Regular,4116,3560.09
D,4,8,56,759,Regular,1284,564.06
D,4,8,56,759,Regular,1284,39.2
C,7,12,44,768,Regular,399,1006.88
C,7,13,44,755,Regular,399,1128.12
C,8,9,45,758,Diesel,151,1128.12
C,6,2,73,765,Diesel,105,1021.82
C,5,7,61,770,Regular,461,1128.12
C,7,8,53,770,Regular,121,84.3
B,7,0,44,770,Diesel,56,1128.12
A,8,7,65,758,Regular,44,1128.12
C,7,8,78,770,Regular,282,109.56
A,4,6,51,770,Regular,40,1544.32
C,4,8,76,768,Regular,405,820.58
D,6,1,69,770,Regular,741,1128.12
D,8,9,56,770,Diesel,1284,1128.12
A,5,1,72,770,Regular,48,316.62
A,6,10,55,770,Diesel,26,1700.93
D,5,1,72,770,Regular,581,1128.12
B,6,6,44,770,Diesel,56,1128.12
D,7,9,78,770,Regular,1284,520.32
A,6,6,78,770,Regular,43,1128.12
C,4,10,50,770,Diesel,251,92.99
E,5,10,62,770,Regular,2563,649.46
A,7,2,53,758,Regular,13,1128.12
C,6,13,48,770,Regular,335,258.15
B,7,6,54,770,Regular,66,1128.12
A,15,1,73,770,Regular,10,5468.42
D,7,18,51,720,Regular,1313,3714.99
E,10,11,66,770,Diesel,4116,2514.57
B,5,5,53,770,Regular,94,57.77
D,7,14,63,770,Regular,1943,10.16
C,5,9,50,770,Diesel,399,1128.12
C,9,10,53,735,Regular,255,1128.12
C,6,12,86,770,Regular,227,564.06
C,6,12,86,770,Regular,227,564.06
A,6,4,67,770,Diesel,18,1253
E,5,8,56,770,Regular,8455,1128.12
A,11,11,48,770,Regular,49,1128.12
C,7,14,60,770,Regular,295,367.49
C,9,16,64,770,Regular,295,13.38
A,5,11,43,770,Diesel,44,1128.12
C,4,4,75,770,Regular,385,7165.1
