Age,Default,Housing,Loan,Contact,Previous,Poutcome,EVR,CPI,CCI,Y
36,unknown,no,no,cellular,1,nonexistent,-1.8,92.893,-46.2,no
51,no,no,yes,telephone,1,nonexistent,1.4,94.465,-41.8,no
41,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,no
49,unknown,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,no
50,unknown,no,no,cellular,4,nonexistent,1.4,93.444,-36.1,no
31,no,no,no,cellular,1,failure,-0.1,93.2,-42,no
34,no,no,no,telephone,1,nonexistent,-1.7,94.027,-38.3,no
31,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,no
32,no,no,no,cellular,1,nonexistent,-3.4,92.431,-26.9,no
23,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,no
37,unknown,no,no,cellular,1,nonexistent,1.4,93.918,-42.7,no
36,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,no
27,no,yes,no,telephone,2,nonexistent,1.1,93.994,-36.4,no
33,no,yes,no,cellular,1,success,-2.9,92.201,-31.4,no
46,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,no
36,no,yes,no,telephone,2,nonexistent,1.1,93.994,-36.4,no
49,unknown,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,no
31,no,yes,no,cellular,1,success,-0.1,93.2,-42,no
33,no,yes,no,telephone,1,nonexistent,1.4,94.465,-41.8,no
29,no,no,no,cellular,9,nonexistent,1.4,93.444,-36.1,no
38,unknown,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,no
33,no,yes,no,telephone,3,nonexistent,1.1,93.994,-36.4,no
29,unknown,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,no
67,no,no,no,cellular,3,nonexistent,-1.7,94.027,-38.3,no
34,no,yes,no,cellular,1,nonexistent,-1.8,93.075,-47.1,no
56,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,no
31,no,no,no,cellular,2,nonexistent,1.4,93.444,-36.1,no
34,unknown,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,no
49,unknown,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,no
48,unknown,no,no,cellular,1,failure,-1.8,92.893,-46.2,no
