Age,Experience,Income,Family,AvgAmt,Education,Subscriber
25,1,49,4,1.6,Bachelor,No
45,19,34,3,1.5,Bachelor,No
39,15,11,1,1,Bachelor,No
35,9,100,1,2.7,Master,No
35,8,45,4,1,Master,No
37,13,29,4,0.4,Master,No
53,27,72,2,1.5,Master,No
50,24,22,1,0.3,PhD,No
35,10,81,3,0.6,Master,No
34,9,180,1,8.9,PhD,Yes
65,39,105,4,2.4,PhD,No
29,5,45,3,0.1,Master,No
48,23,114,2,3.8,PhD,No
59,32,40,4,2.5,Master,No
67,41,112,1,2,Bachelor,No
60,30,22,1,1.5,PhD,No
38,14,130,4,4.7,PhD,Yes
42,18,81,4,2.4,Bachelor,No
46,21,193,2,8.1,PhD,Yes
55,28,21,1,0.5,Master,No
56,31,25,4,0.9,Master,No
57,27,63,3,2,PhD,No
29,5,62,1,1.2,Bachelor,No
44,18,43,2,0.7,Bachelor,No
36,11,152,2,3.9,Bachelor,No
43,19,29,3,0.5,Bachelor,No
40,16,83,4,0.2,PhD,No
46,20,158,1,2.4,Bachelor,No
56,30,48,1,2.2,PhD,No
38,13,119,1,3.3,Master,Yes
59,35,35,1,1.2,PhD,No
40,16,29,1,2,Master,No
53,28,41,2,0.6,PhD,No
30,6,18,3,0.9,PhD,No
31,5,50,4,1.8,PhD,No
48,24,81,3,0.7,Bachelor,No
59,35,121,1,2.9,Bachelor,No
51,25,71,1,1.4,PhD,No
42,18,141,3,5,PhD,Yes
38,13,80,4,0.7,PhD,No
57,32,84,3,1.6,PhD,No
34,9,60,3,2.3,Bachelor,No
32,7,132,4,1.1,Master,Yes
39,15,45,1,0.7,Bachelor,No
46,20,104,1,5.7,Bachelor,No
57,31,52,4,2.5,Bachelor,No
39,14,43,3,0.7,Master,No
37,12,194,4,0.2,PhD,Yes
56,26,81,2,4.5,PhD,No
40,16,49,1,1.8,Bachelor,No
32,8,8,4,0.7,Master,No
61,37,131,1,2.9,Bachelor,No
30,6,72,1,0.1,Bachelor,No
50,26,190,3,2.1,PhD,Yes
29,5,44,1,0.2,PhD,No
41,17,139,2,8,Bachelor,No
55,30,29,3,0.1,Master,No
56,31,131,2,1.2,PhD,Yes
28,2,93,2,0.2,Bachelor,No
31,5,188,2,4.5,Bachelor,No
49,24,39,3,1.7,Master,No
47,21,125,1,5.7,Bachelor,No
42,18,22,1,1,Bachelor,No
42,17,32,4,0,Master,No
47,23,105,2,3.3,Bachelor,No
59,35,131,1,3.8,Bachelor,No
62,36,105,2,2.8,Bachelor,No
53,23,45,4,2,PhD,No
47,21,60,3,2.1,Bachelor,No
53,29,20,4,0.2,Bachelor,No
42,18,115,1,3.5,Bachelor,No
53,29,69,4,1,Master,No
44,20,130,1,5,Bachelor,No
41,16,85,1,4,PhD,No
28,3,135,2,3.3,Bachelor,No
31,7,135,4,3.8,Master,Yes
58,32,12,3,0.3,PhD,No
46,20,29,3,0.5,Master,No
54,30,133,2,2.6,PhD,Yes
50,26,19,2,0.4,Bachelor,No
60,36,41,4,1.3,Bachelor,No
47,22,40,3,2.7,Master,No
41,16,82,1,4,PhD,No
33,9,50,1,2.4,Master,No
46,22,18,1,0.9,PhD,No
27,2,109,4,1.8,PhD,No
40,16,42,4,2.2,Master,No
48,22,78,3,1.1,Bachelor,No
65,41,51,2,1.1,Bachelor,No
25,1,113,4,2.3,PhD,No
55,30,118,4,5.6,Master,Yes
35,10,29,4,1.1,PhD,No
43,19,34,3,0.6,Master,No
60,34,64,2,1.7,PhD,No
65,39,121,1,2,Bachelor,No
38,12,48,4,0.2,PhD,No
41,15,80,1,5.2,Bachelor,No
54,28,161,1,2.9,Bachelor,No
49,23,94,1,0.3,Bachelor,No
66,41,15,3,0.1,PhD,No
48,23,74,1,1.2,Bachelor,No
61,36,30,3,1.3,Master,No
53,23,44,3,1,PhD,No
43,18,22,2,0.3,Master,No
56,32,38,4,1.3,Bachelor,No
24,0,35,3,0.1,Master,No
43,17,69,4,2.9,Bachelor,No
42,18,43,1,0.7,Bachelor,No
33,7,32,1,0.6,PhD,No
43,17,49,1,2.8,Bachelor,No
41,14,9,3,1,Master,No
62,38,45,4,1.3,Master,No
40,15,82,3,1,Bachelor,No
58,34,92,2,2.8,Bachelor,No
39,14,39,3,0.5,PhD,No
65,40,81,3,1.8,Master,No
54,29,35,1,1.5,Master,No
58,33,61,2,2.3,PhD,No
41,16,73,3,3,Bachelor,No
32,7,112,1,4.6,Bachelor,No
54,29,12,2,0.2,PhD,No
52,26,38,3,0.9,PhD,No
58,32,73,2,0.7,Master,No
37,13,84,1,3.6,Master,No
39,15,78,4,2.4,Bachelor,No
60,35,80,3,0.5,Bachelor,No
31,5,115,2,1.3,Bachelor,No
34,8,82,1,2.7,Master,No
38,14,74,2,0,Bachelor,No
41,16,70,3,0.5,PhD,No
28,4,81,3,1.5,Bachelor,No
58,34,149,4,7.2,Master,Yes
31,1,51,2,1.75,PhD,No
30,4,39,3,1.1,Master,No
53,29,98,3,1.8,Master,No
58,33,45,4,2.1,Bachelor,No
59,32,49,4,2.5,Master,No
49,25,128,2,0.4,Bachelor,No
59,34,42,3,1.5,Bachelor,No
59,35,18,1,1.2,PhD,No
51,25,31,2,0.4,PhD,No
35,11,58,3,2,Bachelor,No
33,9,48,1,2.1,PhD,No
25,1,54,4,1.6,Bachelor,No
49,23,70,2,1.5,Master,No
59,35,124,1,7.4,Bachelor,No
46,19,84,1,2.67,Master,No
50,25,83,4,3.6,PhD,No
52,28,163,2,0.4,Bachelor,No
48,22,42,3,2.2,Master,No
46,22,118,2,7.5,Bachelor,No
26,0,132,3,6.5,PhD,Yes
57,32,24,1,1.3,Bachelor,No
60,36,22,2,1,Bachelor,No
54,29,58,4,1.3,PhD,No
24,0,60,4,1.6,Bachelor,No
26,0,15,4,0.4,Bachelor,No
41,17,83,4,2.67,Bachelor,No
32,6,79,2,1.5,PhD,No
61,35,41,4,1.7,Master,No
29,0,134,4,6.5,PhD,Yes
61,35,80,2,2.8,Bachelor,No
38,12,52,1,2,Bachelor,No
28,4,70,4,2.6,Bachelor,No
53,27,92,2,1.1,Bachelor,No
27,1,43,1,1.5,Bachelor,No
25,1,21,3,1,Master,No
33,9,23,3,0.9,PhD,No
50,26,13,4,1,Bachelor,No
27,1,112,4,2.1,PhD,No
27,1,138,2,2,Bachelor,No
52,28,11,3,0.4,Bachelor,No
38,13,171,2,7.8,Bachelor,No
58,34,42,4,1.5,Bachelor,No
42,17,168,2,7.9,Master,Yes
45,20,85,4,1.1,Master,No
52,25,44,3,1,Master,No
29,3,65,4,1.8,Master,No
53,29,24,4,0.2,Bachelor,No
62,37,11,1,0.1,Bachelor,No
51,27,38,2,1,PhD,No
36,12,10,4,0.7,Master,No
24,0,135,1,1.5,Bachelor,No
29,3,148,3,4.1,Bachelor,Yes
52,26,63,2,1.5,Master,No
39,14,115,1,1,PhD,No
48,23,45,1,0.3,Bachelor,No
46,21,159,3,1.9,PhD,Yes
64,40,169,2,2.1,Bachelor,No
55,29,112,2,1.4,Bachelor,No
60,36,93,1,4.3,Bachelor,No
51,25,29,1,0.3,PhD,No
50,23,85,1,2.67,Master,No
48,24,21,4,0.6,Bachelor,No
53,29,144,2,6.8,Bachelor,No
34,10,13,4,1,Bachelor,No
48,24,165,1,5,Bachelor,No
55,31,9,4,0.7,Bachelor,No
27,3,59,4,0,Bachelor,No
36,11,158,1,5.1,PhD,Yes
32,6,29,1,1.9,PhD,No
35,9,20,2,1.4,PhD,No
30,3,68,4,2,Master,No
58,34,65,4,2.2,Bachelor,No
56,31,61,2,1.9,Master,No
38,12,91,4,1.4,Master,No
49,25,31,1,1,Bachelor,No
34,10,71,4,0.1,Master,No
40,16,73,4,2.67,Bachelor,No
64,39,172,4,3.1,Bachelor,Yes
51,26,20,2,0,Bachelor,No
44,18,55,1,0.2,Bachelor,No
46,22,69,2,1.7,Bachelor,No
57,33,155,1,7.4,Bachelor,No
54,28,94,1,1.9,Master,No
38,14,92,2,0,Bachelor,No
27,3,125,2,0.6,Bachelor,No
39,14,74,3,3,Bachelor,No
44,20,72,3,0.3,PhD,No
56,30,61,1,2.2,PhD,No
32,6,25,2,0.3,Bachelor,No
45,19,83,2,1.7,Master,No
26,2,104,3,2.5,Bachelor,No
55,25,41,3,1,PhD,No
52,27,58,4,1.8,PhD,No
39,13,93,1,1.5,PhD,No
24,1,39,2,1.7,Master,No
47,23,148,2,7.5,Bachelor,No
47,22,53,4,1.9,PhD,No
48,24,71,2,1.7,Bachelor,No
47,22,92,1,2.8,Master,No
35,10,61,4,2.1,PhD,No
46,19,38,3,2.5,Master,No
62,37,58,4,1.7,Bachelor,No
26,1,80,1,0.8,Master,No
38,8,71,4,1.8,PhD,No
43,18,89,3,0.5,PhD,No
62,38,83,1,1.8,PhD,No
57,32,28,3,0.2,Bachelor,No
28,3,52,4,1.7,Master,No
51,26,70,1,1.2,Bachelor,No
48,22,71,1,1.4,PhD,No
41,16,75,1,3.7,PhD,No
65,39,170,3,7.9,PhD,Yes
41,17,78,4,0.8,Bachelor,No
35,11,25,2,1,Master,No
38,14,60,2,0.6,PhD,No
53,29,120,4,2.7,Master,Yes
55,29,99,2,1.4,Bachelor,No
26,1,55,3,2.6,PhD,No
30,6,29,3,1,Master,No
54,28,170,2,6.2,Master,Yes
65,40,53,3,2.2,Bachelor,No
47,21,138,1,0,Bachelor,No
65,41,134,3,3.9,PhD,Yes
66,40,42,2,0.7,PhD,No
26,0,99,4,2.3,PhD,No
66,41,18,3,0.5,Bachelor,No
35,9,24,4,0.3,Bachelor,No
56,30,55,1,1.4,Bachelor,No
51,27,58,1,0,Bachelor,No
42,16,111,2,1.2,PhD,Yes
49,23,33,1,0.3,PhD,No
27,1,74,4,1.8,Master,No
45,19,38,2,0.7,Bachelor,No
49,23,23,4,0.6,PhD,No
63,38,61,2,1.5,Bachelor,No
47,22,81,1,2.9,Bachelor,No
64,39,129,1,2.5,Bachelor,No
43,13,33,1,0.75,PhD,No
60,36,63,4,2.2,Bachelor,No
40,14,70,4,1.4,Master,No
29,3,45,4,0.2,Bachelor,No
41,16,65,3,0.5,PhD,No
30,5,74,4,2.2,Bachelor,No
49,24,50,4,1.8,PhD,No
30,5,22,4,0.5,PhD,No
29,2,30,4,1,PhD,No
50,26,21,4,1,Bachelor,No
39,14,155,2,3.9,Bachelor,No
33,8,64,4,2.1,PhD,No
57,31,65,4,2.6,PhD,No
34,9,71,4,0.7,PhD,No
61,36,40,3,0.5,Master,No
44,19,69,3,0.5,PhD,No
40,13,69,3,2.33,Master,No
51,25,45,3,0.6,Master,No
37,12,62,3,0.7,Master,No
44,19,172,2,4.3,PhD,Yes
42,15,24,3,1,Master,No
51,25,80,1,4.9,Bachelor,No
43,16,8,3,0.67,Master,No
30,5,38,4,0.8,Bachelor,No
45,19,93,4,2.6,PhD,No
